iter	Passed	Remaining
714	2911	557
715	2915	553
716	2919	549
717	2923	545
718	2928	541
719	2932	537
720	2936	533
721	2940	529
722	2944	525
723	2948	521
724	2953	517
725	2957	513
726	2961	509
727	2965	505
728	2969	501
729	2974	497
730	2978	493
731	2982	489
732	2987	484
733	2991	480
734	2995	476
735	2999	472
736	3003	468
737	3007	464
738	3011	460
739	3013	456
740	3017	452
741	3021	447
742	3024	443
743	3029	439
744	3032	435
745	3036	431
746	3040	427
747	3044	423
748	3048	419
749	3052	415
750	3056	411
751	3058	406
752	3062	402
753	3067	398
754	3071	394
755	3075	390
756	3079	386
757	3083	382
758	3087	378
759	3092	374
760	3096	370
761	3101	366
762	3107	362
763	3114	358
764	3119	354
765	3123	350
766	3126	346
767	3130	342
768	3134	338
769	3137	334
770	3141	330
771	3145	325
772	3149	321
773	3153	317
774	3156	313
775	3161	309
776	3164	305
777	3168	301
778	3172	297
779	3176	293
780	3180	289
781	3184	285
782	3188	281
783	3193	276
784	3198	273
785	3202	268
786	3206	264
787	3208	260
788	3211	256
789	3216	252
790	3219	248
791	3223	244
792	3227	240
793	3231	236
794	3235	231
795	3239	227
796	3242	223
797	3246	219
798	3250	215
799	3254	211
800	3258	207
801	3262	203
802	3267	199
803	3270	195
804	3275	191
805	3279	187
806	3282	183
807	3286	178
808	3291	174
809	3294	170
810	3298	166
811	3302	162
812	3306	158
813	3310	154
814	3314	150
815	3318	146
816	3322	142
817	3325	138
818	3329	134
819	3332	130
820	3336	125
821	3340	121
822	3344	117
823	3348	113
824	3352	109
825	3356	105
826	3360	101
827	3364	97
828	3368	93
829	3371	89
830	3375	85
831	3379	81
832	3383	77
833	3387	73
834	3390	69
835	3394	64
836	3398	60
837	3402	56
838	3405	52
839	3409	48
840	3413	44
841	3417	40
842	3421	36
843	3424	32
844	3428	28
845	3433	24
846	3437	20
847	3440	16
848	3444	12
849	3448	8
850	3451	4
851	3455	0
